time,UKESM1-0-LL,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR
2000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0
2001.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0
2002.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0
2003.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0
2004.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0
2005.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0
2006.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0
2007.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0
2008.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0
2009.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0
2010.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0
2011.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0
2012.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0
2013.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0
2014.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0
2015.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0
2016.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0
2017.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0
2018.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0
2019.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0
2020.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0
2021.0,7224612600000.0,7292933000000.0,7315384700000.0,7278218000000.0,7299680000000.0
2022.0,7154585600000.0,7270586400000.0,7306587700000.0,7286390500000.0,7300332400000.0
2023.0,7059215000000.0,7226285600000.0,7300773300000.0,7254770700000.0,7310858000000.0
2024.0,6989083600000.0,7132983000000.0,7312186000000.0,7247080000000.0,7309724500000.0
2025.0,6910303500000.0,7090243400000.0,7294075000000.0,7212817000000.0,7324324000000.0
2026.0,6836611700000.0,7034419300000.0,7293799000000.0,7200018000000.0,7336210000000.0
2027.0,6769791000000.0,6986749400000.0,7285420000000.0,7182716000000.0,7284809000000.0
2028.0,6627065000000.0,6925889600000.0,7245710000000.0,7165290500000.0,7245486000000.0
2029.0,6503305600000.0,6875133000000.0,7208562000000.0,7153266000000.0,7222663000000.0
2030.0,6384468000000.0,6809743500000.0,7200898500000.0,7117458600000.0,7169463000000.0
2031.0,6278110000000.0,6768249000000.0,7180644000000.0,7087802000000.0,7106664600000.0
2032.0,6104604000000.0,6730301000000.0,7161940000000.0,7065837000000.0,7080060600000.0
2033.0,5979437500000.0,6700112000000.0,7150408000000.0,7045749700000.0,7049998000000.0
2034.0,5810260000000.0,6658405700000.0,7133387600000.0,7026369000000.0,7051673000000.0
2035.0,5677897500000.0,6557510000000.0,7115860000000.0,7014948000000.0,7034991300000.0
2036.0,5552874700000.0,6508476000000.0,7095100000000.0,7012596000000.0,7011304000000.0
2037.0,5396346000000.0,6434574600000.0,7063626000000.0,7008213000000.0,6985524000000.0
2038.0,5268024000000.0,6365535000000.0,7032568000000.0,6996921700000.0,6985848000000.0
2039.0,5097219000000.0,6264937500000.0,6996787500000.0,6938502400000.0,6922179000000.0
2040.0,4943717600000.0,6126529700000.0,6948907400000.0,6915521000000.0,6843614600000.0
2041.0,4736007000000.0,6006692000000.0,6914057400000.0,6917978000000.0,6816587600000.0
2042.0,4585360000000.0,5887830000000.0,6825498000000.0,6921299000000.0,6726811600000.0
2043.0,4424920000000.0,5794538500000.0,6760010000000.0,6887988000000.0,6657013000000.0
2044.0,4244616200000.0,5660091000000.0,6734733000000.0,6842159000000.0,6586833000000.0
2045.0,4044091800000.0,5554746000000.0,6706948000000.0,6832584000000.0,6529829300000.0
2046.0,3843098700000.0,5408324000000.0,6666206600000.0,6814279000000.0,6438547600000.0
2047.0,3645550000000.0,5306394300000.0,6634210300000.0,6806024000000.0,6352912500000.0
2048.0,3448102200000.0,5181279000000.0,6600320400000.0,6805486300000.0,6274243600000.0
2049.0,3263006500000.0,5081597000000.0,6531482400000.0,6776074300000.0,6211401400000.0
2050.0,3090451500000.0,4928475500000.0,6502954300000.0,6732920000000.0,6164444000000.0
2051.0,2886436000000.0,4855035000000.0,6480185000000.0,6698288000000.0,6059400000000.0
2052.0,2667537200000.0,4734803500000.0,6426855500000.0,6676828700000.0,5977493000000.0
2053.0,2443159300000.0,4603094500000.0,6374338600000.0,6606767000000.0,5897904000000.0
2054.0,2231704500000.0,4525645000000.0,6331950400000.0,6570340000000.0,5817357600000.0
2055.0,2029747300000.0,4404694500000.0,6249513000000.0,6534589000000.0,5763696000000.0
2056.0,1854533800000.0,4292453900000.0,6193990300000.0,6473659000000.0,5670344000000.0
2057.0,1690434300000.0,4225783000000.0,6157030700000.0,6439844000000.0,5605075500000.0
2058.0,1542418600000.0,4121201700000.0,6119394000000.0,6431294000000.0,5512329400000.0
2059.0,1404150500000.0,4047024700000.0,6074278600000.0,6414000000000.0,5426852000000.0
2060.0,1269373700000.0,3937624400000.0,6028368300000.0,6389732700000.0,5348550000000.0
2061.0,1121612700000.0,3828412600000.0,5992477000000.0,6366655700000.0,5280466700000.0
2062.0,979158760000.0,3722596600000.0,5947658000000.0,6325327600000.0,5184380500000.0
2063.0,845871000000.0,3615746700000.0,5884347000000.0,6278831700000.0,5081781000000.0
2064.0,724453750000.0,3517534700000.0,5835878600000.0,6227131000000.0,4995872700000.0
2065.0,623607350000.0,3421467800000.0,5799172000000.0,6192820000000.0,4924642400000.0
2066.0,529835000000.0,3338200400000.0,5748083000000.0,6134735300000.0,4871573500000.0
2067.0,448806940000.0,3252741200000.0,5716899300000.0,6096011400000.0,4754372600000.0
2068.0,370986160000.0,3160406200000.0,5658683000000.0,6042682400000.0,4655685300000.0
2069.0,303966620000.0,3075262600000.0,5617471700000.0,5998265000000.0,4554454700000.0
2070.0,248018880000.0,2992028800000.0,5551002500000.0,5966404000000.0,4418239000000.0
2071.0,200483590000.0,2906233000000.0,5503245600000.0,5915366400000.0,4325154500000.0
2072.0,161410800000.0,2817660000000.0,5461246500000.0,5861834500000.0,4225716200000.0
2073.0,125292390000.0,2741660300000.0,5395290500000.0,5821364700000.0,4119129000000.0
2074.0,96335675000.0,2675766700000.0,5303153000000.0,5750561000000.0,4037405300000.0
2075.0,75592745000.0,2590150200000.0,5209169000000.0,5722892000000.0,3933019600000.0
2076.0,59183907000.0,2507082600000.0,5151684300000.0,5675083600000.0,3822387500000.0
2077.0,43978470000.0,2413886700000.0,5069830400000.0,5611022000000.0,3753315100000.0
2078.0,32631935000.0,2345994600000.0,5000173500000.0,5574763000000.0,3684960800000.0
2079.0,22437558000.0,2253087800000.0,4940120000000.0,5518748300000.0,3575970800000.0
2080.0,15083915000.0,2185206600000.0,4890319000000.0,5467292000000.0,3509909500000.0
2081.0,9277028000.0,2107880900000.0,4808749000000.0,5416370000000.0,3396558700000.0
2082.0,5741569500.0,2031059000000.0,4721056000000.0,5355836000000.0,3306023800000.0
2083.0,3522684000.0,1951585100000.0,4600536500000.0,5301761700000.0,3186800500000.0
2084.0,2122777500.0,1893718400000.0,4552335600000.0,5252143000000.0,3106639200000.0
2085.0,1051621950.0,1829159300000.0,4448640000000.0,5198091000000.0,3019857200000.0
2086.0,413596960.0,1762140500000.0,4362747000000.0,5147756300000.0,2916034500000.0
2087.0,338118530.0,1708866800000.0,4300873000000.0,5076094000000.0,2813094500000.0
2088.0,310870180.0,1642131400000.0,4237717100000.0,5015590000000.0,2711609100000.0
2089.0,278376220.0,1553684400000.0,4168940000000.0,4956411700000.0,2609422800000.0
2090.0,255303100.0,1487454100000.0,4094682500000.0,4910188300000.0,2516253400000.0
2091.0,240705390.0,1416633900000.0,4019987700000.0,4814109400000.0,2422732200000.0
2092.0,232399460.0,1357135600000.0,3968122000000.0,4729917000000.0,2327678000000.0
2093.0,219018800.0,1295479300000.0,3915797200000.0,4617725300000.0,2235650300000.0
2094.0,209627400.0,1238370000000.0,3857756700000.0,4537305300000.0,2148707200000.0
2095.0,201595200.0,1181364900000.0,3789775700000.0,4455996600000.0,2060998100000.0
2096.0,193642460.0,1119871000000.0,3692060700000.0,4387551600000.0,1982163800000.0
2097.0,184433250.0,1068184000000.0,3617992700000.0,4313249500000.0,1916432400000.0
2098.0,179485250.0,1009435200000.0,3552451500000.0,4243445800000.0,1845547200000.0
2099.0,170080800.0,963660150000.0,3481789800000.0,4189062700000.0,1766998900000.0
2100.0,162394740.0,917139100000.0,3379694400000.0,4080081800000.0,1691754800000.0
