time,MRI-ESM2-0
2000.0,89173320000.0
2001.0,88896274000.0
2002.0,88782586000.0
2003.0,88609910000.0
2004.0,88458990000.0
2005.0,88440170000.0
2006.0,88511850000.0
2007.0,88851500000.0
2008.0,88522334000.0
2009.0,88326810000.0
2010.0,88047540000.0
2011.0,87942480000.0
2012.0,88147620000.0
2013.0,88202940000.0
2014.0,88882460000.0
2015.0,88072356000.0
2016.0,89330650000.0
2017.0,88130000000.0
2018.0,87990305000.0
2019.0,89762340000.0
2020.0,87779975000.0
2021.0,87439840000.0
2022.0,87253840000.0
2023.0,87094730000.0
2024.0,87215680000.0
2025.0,86853730000.0
2026.0,86615740000.0
2027.0,86729470000.0
2028.0,86248140000.0
2029.0,86095315000.0
2030.0,86036330000.0
2031.0,85928590000.0
2032.0,85524690000.0
2033.0,85227635000.0
2034.0,84896830000.0
2035.0,85021800000.0
2036.0,84739570000.0
2037.0,84226425000.0
2038.0,84124020000.0
2039.0,83661505000.0
2040.0,83408320000.0
2041.0,83154960000.0
2042.0,82874820000.0
2043.0,82748550000.0
2044.0,82538730000.0
2045.0,82303440000.0
2046.0,81888340000.0
2047.0,81417190000.0
2048.0,81109230000.0
2049.0,80788140000.0
2050.0,80356730000.0
2051.0,79892570000.0
2052.0,79884755000.0
2053.0,79243490000.0
2054.0,78719885000.0
2055.0,78197100000.0
2056.0,77883965000.0
2057.0,79238600000.0
2058.0,77630840000.0
2059.0,76988670000.0
2060.0,76381810000.0
2061.0,75856000000.0
2062.0,75657270000.0
2063.0,75274460000.0
2064.0,75170240000.0
2065.0,74630870000.0
2066.0,74030230000.0
2067.0,73513206000.0
2068.0,73281495000.0
2069.0,73293490000.0
2070.0,72520155000.0
2071.0,72137376000.0
2072.0,71669110000.0
2073.0,71330970000.0
2074.0,70828425000.0
2075.0,70556740000.0
2076.0,69971580000.0
2077.0,69556830000.0
2078.0,69031080000.0
2079.0,69065950000.0
2080.0,69395060000.0
2081.0,71065010000.0
2082.0,68972580000.0
2083.0,67744290000.0
2084.0,67277860000.0
2085.0,66910270000.0
2086.0,66360740000.0
2087.0,66034692000.0
2088.0,68088218000.0
2089.0,65718477000.0
2090.0,64994460000.0
2091.0,64454218000.0
2092.0,64040520000.0
2093.0,63815746000.0
2094.0,63240940000.0
2095.0,62865543000.0
2096.0,62520780000.0
2097.0,63063028000.0
2098.0,62391340000.0
2099.0,61642514000.0
2100.0,62257490000.0
